Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VikasTestCase,Firefox 52.0,,2018-07-05 20:59:41,2018-07-06 00:23:26,3h - 23m - 44.827s,FAILED
,,,,,,
Test Cases/DDS-2053/DDS- 3890 User should be able to mark individual items as favourites on the online store search results page,Firefox 52.0,,2018-07-05 20:59:42,2018-07-05 21:01:01,1m - 18.967s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 20:59:42,2018-07-05 21:00:42,1m - 0.242s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:00:42,2018-07-05 21:00:50,7.524s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:00:50,2018-07-05 21:00:50,0.018s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:00:50,2018-07-05 21:00:50,0.018s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:00:50,2018-07-05 21:00:50,0.029s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:00:50,2018-07-05 21:00:50,0.020s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:00:50,2018-07-05 21:00:55,5.359s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:00:55,2018-07-05 21:01:00,5.297s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:01:00,2018-07-05 21:01:01,0.254s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3894 Verify that items marked as favorites should be visible on the favourite section of the online store,Firefox 52.0,,2018-07-05 21:01:01,2018-07-05 21:02:12,1m - 11.561s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:01:01,2018-07-05 21:01:51,50.417s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:01:51,2018-07-05 21:01:59,8.075s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.021s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.016s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.025s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.035s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.020s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:01:59,0.020s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:01:59,2018-07-05 21:02:05,5.304s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:02:05,2018-07-05 21:02:10,5.315s,PASSED
click,Firefox 52.0,,2018-07-05 21:02:10,2018-07-05 21:02:10,0.203s,PASSED
click,Firefox 52.0,,2018-07-05 21:02:10,2018-07-05 21:02:12,1.882s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:02:12,0.022s,PASSED
Statement - Exp1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify ITEM1)),Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:02:12,0.036s,PASSED
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:02:12,0.033s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:02:12,0.008s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:02:12,0.001s,PASSED
,,,,,,
"Test Cases/DDS-2053/DDS-3895 When the user clicks on the View all under favorites section, user is navigated to a new window listing down all the favorites under each entity",Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:03:34,1m - 21.921s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:02:12,2018-07-05 21:03:13,1m - 1.281s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:03:13,2018-07-05 21:03:20,6.921s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:03:20,2018-07-05 21:03:20,0.022s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:03:20,2018-07-05 21:03:20,0.013s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:03:20,2018-07-05 21:03:20,0.026s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:03:20,2018-07-05 21:03:20,0.032s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:03:20,2018-07-05 21:03:21,0.018s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:03:21,2018-07-05 21:03:21,0.030s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:03:21,2018-07-05 21:03:26,5.335s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:03:26,2018-07-05 21:03:31,5.305s,PASSED
click,Firefox 52.0,,2018-07-05 21:03:31,2018-07-05 21:03:31,0.182s,PASSED
click,Firefox 52.0,,2018-07-05 21:03:31,2018-07-05 21:03:33,1.512s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.020s,PASSED
Statement - Exp1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify ITEM1)),Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.038s,PASSED
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.033s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.001s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.001s,PASSED
click,Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:33,0.214s,PASSED
Statement - Val1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/View All Section/Verify ITEM1)),Firefox 52.0,,2018-07-05 21:03:33,2018-07-05 21:03:34,0.533s,PASSED
Statement - Val2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/View All Section/Verify ITEM3)),Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:03:34,0.025s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:03:34,0.000s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:03:34,0.001s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:03:34,0.242s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3898 Verify that the items added from the favorites section should be appended to the already existing items of the cart,Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:04:47,1m - 13.445s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:03:34,2018-07-05 21:04:28,53.548s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:04:28,2018-07-05 21:04:35,7.247s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.019s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.017s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.030s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.028s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.011s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:35,0.031s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:04:35,2018-07-05 21:04:40,5.336s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:04:40,2018-07-05 21:04:46,5.311s,PASSED
click,Firefox 52.0,,2018-07-05 21:04:46,2018-07-05 21:04:46,0.196s,PASSED
click,Firefox 52.0,,2018-07-05 21:04:46,2018-07-05 21:04:47,1.471s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.019s,PASSED
Statement - Exp1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify ITEM1)),Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.049s,PASSED
Statement - Exp2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(OnlineStorePage/HeaderTab/FavoritesAndPreviouslyUsedTab/Verify Item3)),Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.034s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.000s,PASSED
verifyMatch,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:04:47,0.001s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3901 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Specifications,Firefox 52.0,,2018-07-05 21:04:47,2018-07-05 21:06:06,1m - 18.903s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:04:48,2018-07-05 21:05:44,56.439s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:44,2018-07-05 21:05:53,9.450s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:53,2018-07-05 21:05:53,0.017s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:05:53,2018-07-05 21:05:54,0.012s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.031s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.026s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.024s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:54,0.022s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:05:54,2018-07-05 21:05:59,5.308s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:05:59,2018-07-05 21:06:04,5.295s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:04,2018-07-05 21:06:04,0.175s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:04,2018-07-05 21:06:05,0.186s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:05,2018-07-05 21:06:06,1.423s,PASSED
click,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.086s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.051s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:06:06,0.208s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3902 Verify that the item name should be a hyperlink which will navigate to the item details pop-up with the following information Attachment,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:07:29,1m - 22.281s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:06:06,2018-07-05 21:07:09,1m - 2.773s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:09,2018-07-05 21:07:16,6.541s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.018s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.013s,PASSED
Statement - Actual1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/ITEM1 For 2 Row)),Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.032s,PASSED
Statement - Actual2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Catalog Item List Verification/Item3 For 3 Row)),Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.025s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.021s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:16,0.011s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:07:16,2018-07-05 21:07:21,5.310s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:07:21,2018-07-05 21:07:26,5.303s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:26,2018-07-05 21:07:27,0.193s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:27,2018-07-05 21:07:28,1.373s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.191s,PASSED
click,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.102s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:28,0.027s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:07:28,2018-07-05 21:07:29,0.251s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS-3906 User should be able to remove item(s) from the favourites section,Firefox 52.0,,2018-07-05 21:07:29,2018-07-05 21:10:38,3m - 9.778s,FAILED
callTestCase,Firefox 52.0,,2018-07-05 21:07:29,2018-07-05 21:08:18,49.773s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:18,2018-07-05 21:08:26,7.180s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.023s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.016s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.024s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:26,0.022s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:08:26,2018-07-05 21:08:31,5.308s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-05 21:08:31,2018-07-05 21:08:36,5.304s,PASSED
click,Firefox 52.0,,2018-07-05 21:08:36,2018-07-05 21:08:37,0.192s,PASSED
